Category,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30
Alcohol & Bars,0.0,14.0,19.5,0.0,27.77,0.0,35.14,0.0,65.4,12.71,86.6,26.0,0.0,8.0,49.63,54.4
Auto Insurance,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Coffee Shops,3.0,6.0,10.0,7.0,0.0,10.5,0.0,0.0,5.0,3.0,0.0,6.0,0.0,6.0,18.04,0.0
Credit Card Payment,864.8,1075.6100000000001,1321.5,3166.88,884.47,1550.83,666.34,403.5,972.25,605.98,845.5,775.05,3450.88,1208.8,1098.92,2862.6800000000003
Electronics & Software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.99,44.93
Entertainment,0.0,0.0,0.0,0.0,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast Food,32.91,10.66,23.34,0.0,27.79,61.5,24.810000000000002,13.67,0.0,0.0,37.85,98.1,0.0,0.0,0.0,0.0
Food & Dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,63.0,0.0,0.0,0.0,0.0
Gas & Fuel,65.28999999999999,68.68,65.45,81.56,72.74,77.15,137.9,150.82,117.57,72.72,65.66,120.37,60.24,57.81,71.59,78.02
Groceries,87.72999999999999,63.74,171.07,274.39,289.21,139.15,86.18,23.55,97.32,208.58999999999997,104.50999999999999,277.71999999999997,85.91,122.37,112.73,91.08000000000001
Haircut,0.0,30.0,0.0,30.0,29.0,30.0,30.0,0.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,30.0
Home Improvement,51.21,0.0,0.0,572.16,8022.37,0.0,0.0,0.0,76.23,157.09,69.3,105.64,0.0,86.97,0.0,29.56
Internet,69.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,75.99,75.0,75.0,75.0,75.0
Mobile Phone,89.46,89.52,89.52,89.52,111.18,89.46,89.46,89.4,89.4,89.4,89.54,89.54,65.0,65.0,65.0,65.0
Mortgage & Rent,1247.44,1247.44,1247.44,1247.44,1247.44,1247.44,1247.44,1247.44,1247.44,1209.18,1209.18,1209.18,1100.0,1100.0,1100.0,1100.0
Movies & DVDs,11.76,11.76,11.76,18.17,38.01,11.76,43.17,11.76,11.76,11.76,28.759999999999998,11.76,0.0,0.0,0.0,0.0
Music,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69
Paycheck,4000.0,4000.0,6000.0,4000.0,4000.0,4000.0,4000.0,6000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,6000.0,4000.0
Restaurants,156.79999999999998,290.85,234.05,202.26999999999998,127.3,74.31,97.41,42.31,118.60000000000001,114.4,73.99,101.81,23.49,95.46,18.02,99.89999999999999
Shopping,100.37,11.11,73.85000000000001,54.470000000000006,219.45,88.1,225.45,128.04999999999998,170.34,63.09,67.08,217.14000000000001,71.10000000000001,50.540000000000006,70.14,76.53
Television,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,11.76,11.76
Utilities,140.0,160.0,147.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,135.0,140.0,160.0,144.0,125.0
